Id;TestPath;PathLength;HasLoop;CountLoop;CountnewReqEcCovered;CountReqEcCovered;EdgeCoverage;CountnewReqPpcCovered;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,39,40,41,42,44,52,53,56,57,61,62,63,64,67,68,69,70,71,72,73,75;40;0;0;0;39;0.42391304347826086;1;1;0.0014903129657228018
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,39,40,41,42,44,52,53,56,57,61,62,63,64,65,66,67,70,71,72,73,75;40;0;0;0;39;0.42391304347826086;1;1;0.0014903129657228018
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,39,40,41,42,44,52,53,56,57,61,62,63,64,65,66,67,68,69,70,73,75;40;0;0;0;39;0.42391304347826086;1;1;0.0014903129657228018
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,39,40,41,42,44,52,53,56,57,61,64,65,66,67,68,69,70,71,72,73,75;40;0;0;0;39;0.42391304347826086;1;1;0.0014903129657228018
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,28,32,35,36,37,38,36,61,62,63,64,65,66,67,68,69,70,71,72,73,75;40;1;1;5;39;0.42391304347826086;3;3;0.004470938897168405
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,39,40,41,42,44,52,53,56,57,61,62,63,64,65,66,67,70,73,75;38;0;0;0;37;0.40217391304347827;1;1;0.0014903129657228018
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,39,40,53,56,57,61,62,63,64,65,66,67,68,69,70,71,72,73,75;38;0;0;1;37;0.40217391304347827;1;1;0.0014903129657228018
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,28,32,35,61,62,63,64,65,66,67,68,69,70,71,72,73,75;36;0;0;0;35;0.3804347826086957;1;1;0.0014903129657228018
org.apache.commons.lang3.time.DurationFormatUtilsTest.testLANG815();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,28,29,30,31,28,32,35,61,64,65,66,67,68,69,70,71,72,73,75;38;1;1;4;37;0.40217391304347827;3;3;0.004470938897168405
org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriodISOMethod();74,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,21,24,27,28,32,35,61,64,67,70,73,75;28;0;0;0;27;0.29347826086956524;0;1;0.0014903129657228018
